nome,sigla,codigo,tipo,vel_max_kmh,raio_m,ativo,pedagio,rodoviaria,garagem,lat,lng
POSTO CHIMARRAO - JOAO PESSOA,CHIMA JOAO,467,Ponto de Controle - 12,10,50,false,false,false,false,-7.17345,-34.897803
CHURRASCARIA CHIMARRÃO BAYEUX,CHIMA.BAYE,197,Ponto de Controle - 12,10,90,false,false,false,false,-7.133737,-34.930732
CHURRASCARIA CHIMARRÃO - MOSSORÓ 2,CHIMA.MOSS,194,Ponto de Controle - 12,10,50,false,false,false,false,-5.224987,-37.342979
MORRO DO CHAPÉU - BA - CHURR. CHIMARRÃO 24,CHIMARRÃO,398,Local Não Autorizado - 42,10,50,false,false,false,false,-8.395987,-35.261256
CHURRASCARIA CHIMARRÃO - MAMANGUAPE - PB,CHIMARRÃO2,441,Ponto de Controle - 12,0,50,false,false,false,false,-6.627877,-35.126048
RODOVIARIA DE CACHOEIRAS DE MACACU - RJ,CHM,239,Ponto de Controle - 12,10,35,false,false,true,false,-22.465864,-42.654346
RODOVIARIA DE CARMO DA CACHOEIRA - MG,CHO,252,Ponto de Controle - 12,10,25,false,false,true,false,-21.460258,-45.222175
RODOVIARIA DE CACHOEIRA PAULISTA - SP,CHP,238,Ponto de Controle - 12,10,50,false,false,true,false,-22.671541,-45.004168
VILA FIRMEZA - PE - CHURR. CARNE E QUEIJO,CHU.CARQUE,200,Local Não Autorizado - 42,10,200,false,false,false,false,-6.701266,-35.114821
UBERABA - MG / CHURR. CAVION,CHU.CAVION,203,Local Não Autorizado - 42,10,50,false,false,false,false,-19.441272,-48.065226
CHURRASCARIA GUAIBA,CHU.GUAIBA,198,Ponto de Controle - 12,10,80,false,false,false,false,-5.704751,-36.25246
CHURRASCARIA 2 IRMAOS IBOTIRAMA BA,CHUR 2IRMA,143,Ponto de Controle - 12,0,200,false,false,false,false,-12.173194,-43.202201
CHURRASCARIA CHIMARRAO - MORRO DO CHAPEU-BA,CHUR CHAPE,167,Ponto de Controle - 12,0,80,false,false,false,false,-11.557146,-41.157434
ITABERABA - BA / CHURR. BOM DEMAIS,CHURR BDM,383,Local Não Autorizado - 42,10,120,false,false,false,false,-12.51773,-40.285448
RODOVIARIA DE CAICO - RN,CIC,241,Ponto de Controle - 12,10,50,false,false,true,false,-6.444022,-37.07254
RODOVIARIA DE CANTO DO BURITI - PI,CII,247,Ponto de Controle - 12,10,30,false,false,true,false,-8.110769,-42.941293
POSTO CINQUENTÃO,CINQUENTAO,196,Ponto de Controle - 12,10,200,false,false,false,false,-18.828736,-46.79465
GURUPI - TO / RESTAURANTE COMETA,COMETA,452,Local Não Autorizado - 42,0,50,false,false,false,false,-11.696416,-49.072307
RODOVIARIA DE CABROBO - PE,COO,236,Ponto de Controle - 12,10,35,false,false,true,false,-8.508877,-39.309874
RODOVIARIA DE COTEGIPE - BA,COTEGIPE,182,Ponto de Controle - 12,0,25,false,false,true,false,-12.038364,-44.265211
RODOVIARIA DE CAÇAPAVA-SP,CPV,237,Ponto de Controle - 12,10,50,false,false,true,false,-23.11007,-45.70823
RODOVIARIA DE CAMPO MAIOR - PI,CRA,246,Ponto de Controle - 12,10,30,false,false,true,false,-4.829979,-42.170068
RODOVIARIA DE CORONEL FABRICIANO - MG,CRF,254,Ponto de Controle - 12,10,50,false,false,true,false,-19.528876,-42.623045
RODOVIARIA DE CRISTALINA,CRISTALINA,73,Ponto de Controle - 12,10,50,false,false,true,false,-16.764631,-47.613911
RODOVIÁRIA DE CRISTOPOLIS - BA,CRISTOP,181,Ponto de Controle - 12,0,40,false,false,true,false,-12.233238,-44.41378
QUIPAPÁ - PE  - CHURR. CASA BRANCA,CSA BRANC,396,Local Não Autorizado - 42,10,50,false,false,false,false,-8.811468,-36.012813
RODOVIARIA DE CURRAIS NOVOS - RN,CSS,258,Ponto de Controle - 12,10,50,false,false,true,false,-6.260238,-36.519544
RODOVIARIA DE CATALAO - GO,CTL,253,Ponto de Controle - 12,10,50,false,false,true,false,-18.171858,-47.926462
RODOVIARIA DE CRISTINAPOLIS - SE,CTN,377,Ponto de Controle - 12,10,15,false,false,true,false,-11.478131,-37.754258
RODOVIARIA DE CRATO - CE,CTO,255,Ponto de Controle - 12,10,35,false,false,true,false,-7.229171,-39.397614
RODOVIARIA DE CUPIRA - PE,CUP,257,Ponto de Controle - 12,10,50,false,false,true,false,-8.612958,-35.956496
RODOVIARIA DE CRISTINO CASTRO - PI,CYT,256,Ponto de Controle - 12,10,50,false,false,true,false,-8.806513,-44.215783
POSTO DDD 242,DDD.242,199,Ponto de Controle - 12,10,135,false,false,false,false,-12.419105,-41.83866
ECO POSTO DETRAN RECIFE - DESEMBARQUE,DETRAN DES,180,Ponto de Controle - 12,0,50,false,false,true,false,-8.042357,-34.943826
