Código,Cód. Emb.,Desc. Resumida,Descrição,Unidade Empresarial,Tipo,Ajuste Horário,Raio,Raio Advert.,Vel.,Grupo PC.,Dist. uso vel.,Código externo,Ativo,Pedágio,Rodoviária,Suspensão,Garagem,Online,Auxlilar,Seletivo,Ponto Vel.,Area Vel.,Direções,Latitude,Longitude,Chave,Data Cadastro,Data Alteração
286,272,INP,RODOVIARIA DE INHAPIM - MG,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-19.549103,-42.123519,0,2025-08-11 15:22:13,2025-09-18 08:26:03
290,276,IOM,RODOVIARIA DE ITAOBIM - MG,Kandango Parceiras,Ponto de Controle - 12,0,25,25,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-16.561492,-41.503894,0,2025-08-11 15:26:53,2025-09-18 08:27:47
289,275,IOY,RODOVIARIA DE ITABORAI - RJ,Kandango Parceiras,Ponto de Controle - 12,0,50,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-22.744092,-42.856592,0,2025-08-11 15:25:42,2025-08-11 15:25:42
288,274,IRE,RODOVIARIA DE IRECE - BA,Kandango Parceiras,Ponto de Controle - 12,0,45,45,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-11.302807,-41.848562,0,2025-08-11 15:24:21,2025-09-18 08:29:53
285,271,ISS,RODOVIARIA DE IGARASSU - PE,Kandango Parceiras,Ponto de Controle - 12,0,95,95,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-7.833059,-34.911917,0,2025-08-11 15:20:45,2025-09-18 08:31:13
168,168,ITAPEMIRIM,PONTO DE APOIO ITAPEMIRIM - ANAPOLIS GO,Kandango Parceiras,Local Não Autorizado - 42,0,110,100,0,Não Informado,0.0,0,F,F,N,F,N,T,F,F,F,F,,-16.355302,-48.927469,1,2024-10-24 10:28:26,2025-10-20 10:46:29
464,431,ITAUEIRA,RODOVIARIA DE ITAUIERA PI,Kandango Parceiras,Ponto de Controle - 12,0,35,35,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-7.603104,-43.027210,0,2025-10-31 10:34:27,2025-10-31 10:34:27
292,278,ITM,RODOVIARIA DE ITUMBIARA - GO,Kandango Parceiras,Ponto de Controle - 12,0,95,95,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-18.402974,-49.210994,0,2025-08-11 15:32:36,2025-09-18 08:32:35
293,279,ITV,RODOVIARIA DE ITUVERAVA - SP,Kandango Parceiras,Ponto de Controle - 12,0,38,50,10,Não Informado,0.0,-,F,F,S,F,N,T,F,F,F,F,,-20.339397,-47.776046,0,2025-08-11 15:34:26,2025-09-18 08:34:08
466,433,JABOATAO,JABOATÃO DOS GUARARAPES - PE,Kandango Parceiras,Ponto de Controle - 12,0,80,120,10,Não Informado,0.0,-,F,F,N,F,N,T,T,F,F,F,,-8.094693,-35.045021,0,2025-11-03 16:27:11,2025-11-03 16:27:11
